plant_name,lat,lon,capacity_mw,status,retirement_year,state,plant_code,nearest_grid_idx,grid_distance_km,depth_bin,depth_300_km,depth_score,status_score
Waukegan,42.3833,-87.8133,681.7,Retired,2022.0,IL,883.0,343053,2.019988998956559,>10 km,,10,1
Yates,33.4622,-84.8986,679.9,Retired,2015.0,GA,728.0,77489,1.0623219744212073,>10 km,,10,1
Virginia City Hybrid Energy Center,36.916389,-82.338055,668.0,Operating,,VA,56808.0,169386,1.1210932366244508,>10 km,,10,2
Sandow No 5,30.5681,-97.0614,661.5,Retired,2018.0,TX,52071.0,23876,1.1818600296695458,>10 km,,10,1
Williams,33.0158,-79.9297,659.7,Operating,,SC,3298.0,67629,0.8669086893189183,>10 km,,10,2
Leland Olds,47.280769,-101.321213,656.0,Operating,,ND,2817.0,493823,0.7112086143525767,>10 km,,10,2
River Rouge,42.2739,-83.1119,650.6,Retired,2021.0,MI,1740.0,338777,1.380553899085762,>10 km,,10,1
Chesapeake,36.7711,-76.3019,649.5,Retired,2015.0,VA,3803.0,165791,2.0408081285056427,>10 km,,10,1
Meramec,38.4017,-90.3358,648.0,Retired,2022.0,MO,2104.0,212288,2.2028532990760237,>10 km,,10,1
Cane Run,38.1831,-85.8892,644.6,Retired,2015.0,KY,1363.0,205666,1.405907839146139,>10 km,,10,1
Boardman,45.693182,-119.808819,642.2,Retired,2020.0,OR,6106.0,448691,1.1434148720054644,8-10 km,10.0,6,1
Coleto Creek,28.7128,-97.214167,622.4,Operating,,TX,6178.0,8040,1.9732609775747094,8-10 km,10.0,6,2
Dallman,39.754803,-89.602389,617.8,Operating,2024.0,IL,963.0,254638,1.6569115756624209,>10 km,,10,2
R S Nelson,30.2844,-93.2911,614.6,Operating,,LA,1393.0,20400,1.9988074593628504,>10 km,,10,2
Philip Sporn,38.9669,-81.9231,610.0,Retired,2015.0,WV,3938.0,230721,2.3832027975122942,>10 km,,10,1
John W Turk Jr Power Plant,33.649722,-93.811944,609.0,Operating,,AR,56564.0,81926,0.4871792505473987,>10 km,,10,2
Bailly,41.645,-87.1225,603.5,Retired,2018.0,IN,995.0,318465,1.7598049083128224,>10 km,,10,1
Kenneth C Coleman,37.9631,-86.7911,602.0,Retired,2020.0,KY,1381.0,199754,0.6660957337834706,>10 km,,10,1
Allen S King,45.03,-92.7786,598.4,Operating,,MN,1915.0,428930,0.13946465576365247,>10 km,,10,2
Northside Generating Station,30.4172,-81.5525,595.0,Operating,,FL,667.0,22134,1.4197722518416107,>10 km,,10,2
Sandow No 4,30.565871,-97.064032,590.6,Retired,2018.0,TX,6648.0,23876,1.3836244462831377,>10 km,,10,1
Dickerson,39.2097,-77.4644,588.0,Retired,2020.0,MD,65284.0,238394,2.4030851691072947,>10 km,,10,1
Seward (PA),40.40625,-79.03366,585.0,Operating,,PA,3130.0,276116,1.1971834543248532,>10 km,,10,2
Muskogee,35.76135,-95.28732,572.0,Operating,,OK,2952.0,136740,0.6510989337534887,>10 km,,10,2
Hawthorn,39.1306,-94.4778,569.0,Operating,,MO,2079.0,234376,1.1435874251498261,>10 km,,10,2
Lawrence Energy Center,39.0072,-95.269167,566.0,Operating,2015.0,KS,1250.0,231512,2.007107463434252,>10 km,,10,2
Montrose,38.3114,-93.9348,564.0,Retired,2018.0,MO,2080.0,210054,0.9936769968923487,>10 km,,10,1
Brame Energy Center,31.395,-92.716667,558.0,Operating,,LA,6190.0,35402,2.42678748998916,>10 km,,10,2
Flint Creek,36.2561,-94.5241,558.0,Operating,,AR,6138.0,151032,1.9529529407786725,>10 km,,10,2
Pawnee,40.2217,-103.6803,552.3,Operating,,CO,6248.0,270285,2.054468698225734,>10 km,,10,2
Dan E Karn,43.644996,-83.840074,544.0,Retired,2023.0,MI,1702.0,383630,0.7913248308009233,>10 km,,10,1
Michigan City,41.7208,-86.9086,540.0,Operating,,IN,997.0,320298,1.870414125138116,>10 km,,10,2
Lowman Energy Center,31.488019,-87.910747,538.0,Retired,2020.0,AL,56.0,37108,1.0324171566675184,>10 km,,10,1
A B Brown,37.9053,-87.715,530.4,Retired,2023.0,IN,6137.0,197524,2.363804125715383,>10 km,,10,1
Sibley,39.178319,-94.184445,524.0,Retired,2018.0,MO,2094.0,236935,1.9121651579647008,>10 km,,10,1
Red Hills Generating Facility,33.3761,-89.2183,513.7,Operating,,MS,55076.0,75959,1.7992214289515462,>10 km,,10,2
D B Wilson,37.4497,-87.0806,509.4,Operating,,KY,6823.0,185085,1.717332330116674,>10 km,,10,2
Wood River,38.8639,-90.1347,500.1,Retired,2016.0,IL,898.0,227305,1.7058699210634396,>10 km,,10,1
Bonanza,40.0864,-109.2844,499.5,Operating,,UT,7790.0,265311,1.0521968918175675,>10 km,,10,2
John Twitty Energy Center,37.151706,-93.38804,494.0,Operating,,MO,6195.0,175646,2.089755133461627,>10 km,,10,2
Havana,40.2797,-90.08,488.0,Retired,2019.0,IL,891.0,270874,1.613352209337468,>10 km,,10,1
Dry Fork Station,44.388889,-105.460833,483.7,Operating,,WY,56609.0,407494,0.5465172332285915,>10 km,,10,2
Hayden,40.4856,-107.185,465.4,Operating,,CO,525.0,277688,2.4903690008178105,8-10 km,10.0,6,2
Merrimack,43.1411,-71.4692,459.2,Operating,,NH,2364.0,368280,1.5041931243577178,>10 km,,10,2
Presque Isle,46.5789,-87.395,450.0,Retired,2019.0,MI,1769.0,475231,1.6656797940156296,>10 km,,10,1
Big Stone,45.303652,-96.510067,450.0,Operating,,SD,6098.0,437810,1.3061114058077403,>10 km,,10,2
Coyote,47.221447,-101.815722,450.0,Operating,,ND,8222.0,492383,0.9033267819655771,>10 km,,10,2
Hugo,34.0158,-95.3206,446.0,Operating,,OK,6772.0,90522,2.1022829859046355,>10 km,,10,2
Big Bend,27.7944,-82.4036,445.5,Retired,2021.0,FL,645.0,4813,2.3088057907509802,>10 km,,10,1
Indian River Generating Station,38.5857,-75.2341,445.5,Retired,2025.0,DE,594.0,219025,1.455475628323837,>10 km,,10,1
Kanawha River,38.2056,-81.4211,439.2,Retired,2017.0,WV,3936.0,207156,1.5540909860497534,>10 km,,10,1
Asheville,35.4731,-82.5417,413.6,Retired,2020.0,NC,2706.0,129000,1.2797593454599154,>10 km,,10,1
San Miguel,28.7044,-98.4775,410.0,Operating,,TX,6183.0,7856,1.9957771022209128,>10 km,,10,2
HMP&L Station Two Henderson,37.6469,-87.5028,405.0,Retired,2019.0,KY,1382.0,190259,1.4467521415850493,>10 km,,10,1
R D Morrow,31.2186,-89.394,400.0,Retired,2018.0,MS,6061.0,33140,1.0695704353870856,>10 km,,10,1
Bridgeport Station,41.1706,-73.1844,400.0,Retired,2021.0,CT,568.0,302418,1.8756351974664294,>10 km,,10,1
Indiantown Cogeneration LP,27.0389,-80.5125,395.4,Retired,2020.0,FL,50976.0,2991,2.0515303906038698,>10 km,,10,1
John P Madgett,44.303583,-91.912647,387.0,Operating,,WI,4271.0,404784,1.4391926773229233,>10 km,,10,2
Naughton,41.7581,-110.5983,380.8,Operating,,WY,4162.0,321434,1.6127241932425238,>10 km,,10,2
Yorktown,37.2144,-76.4611,375.0,Retired,2019.0,VA,3809.0,178084,0.4610407314605809,>10 km,,10,1
F B Culley,37.9111,-87.3275,368.9,Operating,,IN,1012.0,198578,1.7206791519729534,>10 km,,10,2
C D McIntosh Jr,28.0801,-81.9229,363.8,Retired,2021.0,FL,676.0,5835,2.263445653802167,>10 km,,10,1
Wyodak,44.290128,-105.381482,362.1,Operating,,WY,6101.0,404485,1.4781555751621442,>10 km,,10,2
North Omaha,41.32909,-95.94466,353.6,Operating,,NE,2291.0,306614,1.9511135574466432,>10 km,,10,2
Pulliam,44.54,-88.0086,350.2,Retired,2018.0,WI,4072.0,413364,1.1922423857959787,>10 km,,10,1
River Valley,35.1931,-94.6458,350.0,Operating,,OK,10671.0,120453,2.461494996958012,>10 km,,10,2
Major Oak Power,31.091925,-96.69503,349.2,Operating,,TX,7030.0,31344,1.7914323742978142,>10 km,,10,2
Holcomb,37.9308,-100.9725,348.7,Operating,,KS,108.0,198275,1.34240853094281,>10 km,,10,2
Genoa,43.5589,-91.2325,345.6,Retired,2021.0,WI,4143.0,380736,1.8658482426030891,>10 km,,10,1
J R Whiting,41.792114,-83.44948,345.4,Retired,2016.0,MI,1723.0,322631,1.8533517925331509,>10 km,,10,1
O H Hutchings,39.6088,-84.2921,345.0,Retired,2015.0,OH,2848.0,250333,1.003047656694012,>10 km,,10,1
Cooper,36.9981,-84.5919,344.0,Operating,,KY,1384.0,171740,0.39079290300867914,>10 km,,10,2
Lansing Smith,30.2686,-85.7003,340.0,Retired,2016.0,FL,643.0,20100,2.16095217415243,>10 km,,10,1
Glen Lyn,37.3706,-80.8633,337.5,Retired,2015.0,VA,3776.0,182113,1.8153223743562523,>10 km,,10,1
Archer Daniels Midland Decatur,39.870074,-88.890756,335.0,Operating,,IL,10865.0,259123,2.479005390956254,>10 km,,10,2
Edwardsport,38.8067,-87.2472,331.5,Operating,,IN,1004.0,225213,0.043453440518195316,>10 km,,10,2
Eckert Station,42.71839,-84.55808,331.0,Retired,2021.0,MI,1831.0,353955,1.1011995541714616,>10 km,,10,1
Whelan Energy Center,40.580872,-98.312437,324.3,Operating,,NE,60.0,281245,0.9468643003735626,>10 km,,10,2
B C Cobb,43.258768,-86.242268,312.6,Retired,2016.0,MI,1695.0,371494,1.5158663332081639,>10 km,,10,1
J C Weadock,43.639927,-83.844712,312.6,Retired,2016.0,MI,1720.0,383630,1.3256125122752134,>10 km,,10,1
Hennepin Power Station,41.3028,-89.315,306.3,Retired,2019.0,IL,892.0,305575,1.658437067531897,>10 km,,10,1
Eagle Valley (IN),39.48517,-86.4183,301.6,Retired,2016.0,IN,991.0,245874,2.357189247169649,>10 km,,10,1
R Gallagher,38.2636,-85.8381,300.0,Retired,2021.0,IN,1008.0,209169,2.162014731639,>10 km,,10,1
Reid Gardner,36.657347,-114.633263,294.8,Retired,2017.0,NV,2324.0,161873,1.6787594347210184,8-10 km,10.0,6,1
Rawhide,40.860905,-105.021207,293.6,Operating,,CO,6761.0,290236,2.1035039052994,>10 km,,10,2
Muscatine Plant #1,41.3917,-91.0569,293.5,Operating,2024.0,IA,1167.0,309008,1.0410585281615525,>10 km,,10,2
North Valmy,40.881317,-117.151605,289.8,Operating,,NV,8224.0,291118,0.7324524081239007,8-10 km,8.5,6,2
Black Dog,44.8108,-93.2501,276.8,Retired,2015.0,MN,1904.0,421944,1.8866669573021904,>10 km,,10,1
Lansing,43.3359,-91.1675,274.5,Retired,2023.0,IA,1047.0,374644,1.8753799451868944,>10 km,,10,1
Marion,37.619747,-88.953114,272.0,Operating,2020.0,IL,976.0,189193,1.7264065145726253,>10 km,,10,2
Sikeston Power Station,36.8791,-89.6209,261.0,Operating,,MO,6768.0,168559,1.22729173504827,>10 km,,10,2
Nearman Creek,39.1681,-94.6975,261.0,Operating,,KS,6064.0,235588,1.6360427720180475,>10 km,,10,2
Escalante,35.4159,-108.082,257.0,Retired,2020.0,NM,87.0,127239,2.621385734841064,8-10 km,10.0,6,1
Archer Daniels Midland Cedar Rapids,41.9221,-91.6875,256.1,Operating,,IA,10864.0,327233,1.077057514742447,>10 km,,10,2
Taconite Harbor Energy Center,47.5314,-90.9114,252.0,Retired,2023.0,MN,10075.0,500157,2.3907198577803244,>10 km,,10,1
TS Power Plant,40.7461,-116.5297,242.0,Operating,,NV,56224.0,286535,1.379828853456287,8-10 km,10.0,6,2
Clinch River,36.9333,-82.1997,237.5,Retired,2015.0,VA,3775.0,169388,1.5269417547965467,>10 km,,10,1
Frank E Ratts,38.5201,-87.2662,233.2,Retired,2015.0,IN,1043.0,216134,1.7219822058841006,>10 km,,10,1
Tecumseh Energy Center,39.0539,-95.568889,232.0,Retired,2018.0,KS,1252.0,232342,0.4374290713425922,>10 km,,10,1
Sheldon,40.5589,-96.7847,228.7,Operating,,NE,2277.0,281279,1.729756644158569,>10 km,,10,2
Nelson Dewey Generating Station,42.7225,-91.0085,227.2,Retired,2015.0,WI,4054.0,353845,1.3620209516725073,>10 km,,10,1
Dale,37.8806,-84.2619,216.0,Retired,2016.0,KY,1385.0,197600,1.8358558358299177,>10 km,,10,1
Asbury,37.361315,-94.58926,212.8,Retired,2020.0,MO,2076.0,181808,1.4299825962329016,>10 km,,10,1
Kraft,32.1486,-81.1458,207.9,Retired,2015.0,GA,733.0,49291,1.2730248646342963,>10 km,,10,1
Ray D Nixon,38.633451,-104.70577,207.0,Operating,,CO,8219.0,219281,1.3386612347232856,8-10 km,10.0,6,2
Apache Station,32.0603,-109.8931,204.0,Operating,,AZ,160.0,47193,1.2019560780681833,8-10 km,10.0,6,2
Valmont,40.0195,-105.202,191.7,Retired,2017.0,CO,477.0,262919,1.558866552309032,8-10 km,10.0,6,1
Stanton,47.286643,-101.331908,190.2,Retired,2017.0,ND,2824.0,493823,1.7460849246740804,>10 km,,10,1
Carbon,39.7272,-110.8644,188.6,Retired,2015.0,UT,3644.0,253058,2.012364108035426,>10 km,,10,1
Green River,37.3636,-87.1214,188.6,Retired,2015.0,KY,1357.0,181974,1.2820897011283385,>10 km,,10,1
Kennecott Power Plant,40.7119,-112.1225,182.0,Retired,2019.0,UT,56163.0,285982,1.249287463638175,8-10 km,8.5,6,1
Archer Daniels Midland Clinton,41.8206,-90.2097,180.0,Operating,,IA,10860.0,324170,0.8068094950404936,>10 km,,10,2
McIntosh,32.356287,-81.168347,177.6,Retired,2019.0,GA,6124.0,53768,1.8038079005020482,>10 km,,10,1
J E Corette Plant,45.77562,-108.480999,172.8,Retired,2015.0,MT,2187.0,451748,1.8615220450806746,>10 km,,10,1
Cherokee,39.807275,-104.964548,170.5,Retired,2015.0,CO,469.0,256511,1.15853499627533,8-10 km,10.0,6,1
Mitchell (GA),31.444728,-84.134696,163.2,Retired,2016.0,GA,727.0,36851,1.3359819836013227,>10 km,,10,1
Erickson Station,42.692222,-84.657222,154.7,Retired,2022.0,MI,1832.0,352863,1.4715698843830152,>10 km,,10,1
Mecklenburg Power Station,36.59951,-78.52991,139.8,Retired,2019.0,VA,52007.0,160627,0.33678426843448583,>10 km,,10,1
Herbert A Wagner,39.1781,-76.5268,136.0,Retired,2020.0,MD,1554.0,237316,2.3666127452720183,>10 km,,10,1
Northampton Generating Company LP,40.6917,-75.4792,134.1,Operating,,PA,50888.0,285205,1.9336079673987172,>10 km,,10,2
Silver Bay Power,47.286573,-91.260531,131.6,Operating,,MN,10849.0,494047,1.6713416341054848,>10 km,,10,2
Lon Wright,41.4281,-96.4623,130.0,Operating,,NE,2240.0,310253,0.570227600080652,>10 km,,10,2
Hoot Lake,46.290641,-96.043252,129.4,Retired,2021.0,MN,1943.0,466346,1.3514866931770897,>10 km,,10,1
South Plant (CO),38.824444,-104.833333,125.0,Retired,2022.0,CO,492.0,224822,2.0531968759321266,8-10 km,10.0,6,1
Colver Green Energy,40.55108,-78.79794,118.0,Operating,,PA,10143.0,280558,1.3070950738371323,>10 km,,10,2
Wygen III,44.2919,-105.3806,116.0,Operating,,WY,56596.0,404485,1.3698845522607612,>10 km,,10,2
Hardin Generator Project,45.7578,-107.6,115.7,Operating,,MT,55749.0,450729,1.06546376593872,>10 km,,10,2
R M Heskett,46.8669,-100.8836,115.0,Retired,2022.0,ND,2790.0,483541,1.6077536615135473,>10 km,,10,1
Spruance Operating Services LLC,37.4556,-77.4308,114.8,Retired,2021.0,VA,54081.0,185299,1.5362994349274244,>10 km,,10,1
Nucla,38.2383,-108.5069,113.8,Retired,2019.0,CO,527.0,207604,0.7031984943648785,>10 km,,10,1
Tennessee Eastman Operations,36.5219,-82.5431,110.5,Operating,,TN,50481.0,158551,1.4657376173651875,>10 km,,10,2
Platte,40.854765,-98.348222,109.8,Operating,,NE,59.0,290384,0.9462209876329936,>10 km,,10,2
Schiller,43.0978,-70.7842,100.0,Retired,2025.0,NH,2367.0,365115,1.2732796634425438,>10 km,,10,1
St Nicholas Cogen Project,40.8222,-76.1736,99.2,Operating,,PA,54634.0,289777,1.648909890485488,>10 km,,10,2
Silver Lake,44.02818,-92.460377,99.0,Retired,2015.0,MN,2008.0,396321,0.7644200610149618,>10 km,,10,1
Scholz,30.6692,-84.8869,98.0,Retired,2015.0,FL,642.0,25719,2.3773305642299927,>10 km,,10,1
Robert A Reid,37.6461,-87.5019,96.0,Retired,2020.0,KY,1383.0,190259,1.4692915882047868,>10 km,,10,1
Grant Town Power Plant,39.561831,-80.163138,95.7,Operating,,WV,10151.0,249321,2.1377036783106886,>10 km,,10,2
Wygen 2,44.2919,-105.3811,95.0,Operating,,WY,56319.0,404485,1.4122794404240848,>10 km,,10,2
Scrubgrass Reclamation CO. LP.,41.2691,-79.8134,94.7,Operating,,PA,50974.0,304616,2.177258569926222,>10 km,,10,2
Panther Creek Energy Facility,40.8556,-75.8781,94.0,Operating,,PA,50776.0,290884,1.066568613493488,>10 km,,10,2
Whitewater Valley,39.8028,-84.8953,93.9,Operating,,IN,1040.0,256957,2.0107948213837905,>10 km,,10,2
Wygen 1,44.2858,-105.3833,90.0,Operating,,WY,55479.0,404485,1.7941111897364452,>10 km,,10,2
Neil Simpson II,44.2856,-105.3833,90.0,Operating,,WY,7504.0,404485,1.804457836650057,>10 km,,10,2
John B Rich Memorial Power Station,40.7903,-76.1983,88.4,Operating,,PA,10113.0,288650,1.5639248418260216,>10 km,,10,2
James River Power Station,37.108611,-93.261944,88.0,Retired,2017.0,MO,2161.0,174620,1.0052170824513222,>10 km,,10,1
Shiras,46.530598,-87.392206,77.5,Retired,2019.0,MI,1843.0,474309,1.07066031367955,>10 km,,10,1
Archer Daniels Midland Columbus,41.416442,-97.286328,71.4,Operating,,NE,57046.0,310242,1.3812660679485458,>10 km,,10,2
TES Filer City Station,44.217299,-86.28905,70.0,Operating,,MI,50835.0,402766,1.7646899094247004,>10 km,,10,2
Morgantown Energy Facility,39.6397,-79.960556,68.9,Operating,,WV,10743.0,251132,0.5898134636549,>10 km,,10,2
Prairie Creek,41.944039,-91.639167,64.6,Operating,2025.0,IA,1073.0,327699,2.1958191215532197,>10 km,,10,2
James De Young,42.7956,-86.1133,62.8,Retired,2017.0,MI,1830.0,356090,0.9480557810479582,>10 km,,10,1
Argus Cogen Plant,35.765,-117.3833,62.5,Operating,,CA,10684.0,136249,1.3327506516666594,6-7 km,6.753178246858505,4,2
Orrville,40.850964,-81.765764,59.5,Operating,,OH,2935.0,290753,0.5422749054932123,>10 km,,10,2
Sunnyside Cogen Associates,39.5472,-110.3917,58.1,Operating,,UT,50951.0,248029,1.0556220494926831,>10 km,,10,2
Ebensburg Power,40.455,-78.7472,57.6,Operating,,PA,10603.0,278320,1.7985050028790657,>10 km,,10,2
Painesville,41.7265,-81.254,53.5,Operating,,OH,2936.0,320934,1.2220976461364519,>10 km,,10,2
Lewis & Clark,47.6785,-104.15665,50.0,Retired,2021.0,MT,6089.0,503602,1.0397431206076024,>10 km,,10,1
Wheelabrator Frackville Energy,40.782377,-76.176184,48.0,Retired,2020.0,PA,50879.0,288650,1.1212350780278062,>10 km,,10,1
Foster Wheeler Mt Carmel Cogen,40.811189,-76.452951,47.3,Operating,,PA,10343.0,289772,0.46083081238860885,>10 km,,10,2
Colstrip Energy LP,45.9752,-106.6547,46.1,Operating,,MT,10784.0,456653,1.1703496475311057,>10 km,,10,2
Missouri City,39.231534,-94.307979,46.0,Retired,2016.0,MO,2171.0,238019,0.5688984961989895,>10 km,,10,1
Pixelle Specialty Solutions LLC - Spring,39.870935,-76.868117,45.9,Operating,,PA,50397.0,259381,1.761763449337703,>10 km,,10,2
Covington Facility,37.799722,-79.9947,44.5,Operating,,VA,50900.0,194567,2.298850443240123,>10 km,,10,2
WE Soda Alkalai LLC,41.621667,-109.811944,41.0,Operating,,WY,57915.0,316883,0.488700292400758,>10 km,,10,2
Biron Mill,44.43,-89.78,38.5,Operating,,WI,10234.0,409067,1.5590980427404315,>10 km,,10,2
Columbia (MO),38.964646,-92.316768,38.5,Retired,2019.0,MO,2123.0,229413,2.137049108295547,>10 km,,10,1
Westwood Generation LLC,40.6191,-76.45,36.0,Operating,,PA,50611.0,282862,1.4284378307640802,>10 km,,10,2
Peru (IN),40.7551,-86.0575,34.5,Retired,2015.0,IN,1037.0,287212,2.156635323856258,>10 km,,10,1
General Chemical,41.5933,-109.7542,30.0,Operating,,WY,54318.0,315628,1.386545093032109,>10 km,,10,2
Univ of NC Chapel Hill Cogen Facility,35.9069,-79.0617,28.0,Operating,,NC,54276.0,141219,0.41540722129161906,>10 km,,10,2
Dover (OH),40.520066,-81.46815,27.5,Operating,,OH,2914.0,278430,2.3733744067367137,>10 km,,10,2
